,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Falam,22.91,93.68,58.46,98,7,1.21
1,Thunder Bay,48.41,-89.26,39.99,48,40,6.93
2,Beringovskiy,63.05,179.32,29.66,92,100,3.85
3,Aklavik,68.22,-135.01,23,92,90,4.7
4,Hermanus,-34.42,19.24,57,82,80,22.46
5,Busselton,-33.64,115.35,46,71,100,5.53
6,Bredasdorp,-34.53,20.04,55.99,66,33,3.36
7,Hervey Bay,-25.3,152.85,78.01,94,15,7.54
8,Ponta do Sol,-20.63,-46,76.62,65,64,4.29
9,Puerto Ayora,-0.74,-90.35,82.4,54,20,17.22
10,Ushuaia,-54.81,-68.31,50,34,20,27.51
11,Saint Anthony,43.97,-111.68,45,41,20,6.93
12,Rikitea,-23.12,-134.97,74.01,77,96,9.91
13,Kapaa,22.08,-159.32,82.4,74,1,6.93
14,Cape Town,-33.93,18.42,62.01,67,53,14.99
15,Chingirlau,51.09,54.08,24.58,65,0,4.36
16,San Policarpo,12.18,125.51,78.08,88,6,4.7
17,Sitka,37.17,-99.65,63,31,0,5.99
18,Bluff,-23.58,149.07,70.5,79,71,5.28
19,Sabla,12.75,4.71,85.23,29,100,4.63
20,Kimbe,-5.56,150.15,75.43,93,100,2.75
21,Los Llanos de Aridane,28.66,-17.92,71.6,83,40,14.99
22,Hobart,-42.88,147.33,53.6,58,40,9.17
23,Luderitz,-26.65,15.16,58.66,76,0,15.82
24,Saint-Pierre,48.95,4.24,52,93,90,14.99
25,The Valley,18.22,-63.06,82.4,65,20,5.82
26,Punta Arenas,-53.16,-70.91,48.2,49,40,35.57
27,Clyde River,70.47,-68.59,19.4,79,90,3.36
28,Upernavik,72.79,-56.15,24.12,95,100,10.74
29,Padang,-0.92,100.36,64.98,96,100,0.92
30,Banjar,-7.37,108.54,72.46,95,100,1.34
31,Bhandara,21.16,79.65,73.4,83,0,2.24
32,Albany,42.65,-73.75,48.99,39,90,11.41
33,Campbell River,50.02,-125.24,50,93,90,3.36
34,Port Lincoln,-34.72,135.86,53.46,78,0,10.33
35,Arraial do Cabo,-22.97,-42.02,82.4,69,0,13.87
36,Belapatfalva,48.05,20.37,50.65,96,93,3.94
37,Kahului,20.89,-156.47,84.2,54,20,16.11
38,Lagos,6.46,3.39,80.6,83,20,2.24
39,Butaritari,3.07,172.79,82.56,80,3,17.54
40,Warrnambool,-38.38,142.48,50,86,100,4
41,Alyangula,-13.85,136.42,73.4,94,82,3.36
42,Ribeira Grande,38.52,-28.7,66.2,77,75,11.41
43,Severo-Kurilsk,50.68,156.12,32.14,88,13,3.74
44,Mataura,-46.19,168.86,69.01,41,23,5.01
45,Impfondo,1.62,18.06,75.04,82,100,1.36
46,Nome,30.04,-94.42,68,40,1,4.7
47,Weatherford,32.76,-97.8,70,26,1,13.87
48,Dhar,22.6,75.31,70.12,83,0,2.57
49,Bilibino,68.06,166.44,11.64,87,100,2.93
50,Barrow,-38.31,-60.23,72.95,53,0,9.31
51,Iqaluit,63.75,-68.52,26.6,79,90,8.05
52,Port Hedland,-20.31,118.58,69.8,46,0,9.17
53,Chokurdakh,70.62,147.9,4.71,96,100,6.73
54,Saint-Philippe,45.36,-73.48,48.2,66,75,8.05
55,Tiksi,71.64,128.87,8.17,90,100,4.88
56,Narsaq,60.91,-46.05,28.4,50,1,3.36
57,Avera,33.19,-82.53,66.2,36,1,5.7
58,Hithadhoo,-0.6,73.08,82.18,67,71,2.46
59,Oyama,36.31,139.8,60.01,93,40,3.36
60,Qaanaaq,77.48,-69.36,18.91,80,100,7.47
61,Breves,-1.68,-50.48,88.03,53,67,3.76
62,Margate,-43.03,147.26,53.6,58,40,9.17
63,Hilo,19.71,-155.08,84.2,62,1,5.82
64,Vao,59.1,26.19,39.67,90,100,8.3
65,Kholodnyy,62.72,147.95,8.15,99,100,1.12
66,Tuktoyaktuk,69.44,-133.03,19.4,92,75,11.41
67,Dikson,73.51,80.55,-3.03,95,92,11.92
68,Tilichiki,60.47,166.1,26.22,95,100,7.56
69,Lagoa,37.14,-8.45,66,93,75,13.87
70,New Norfolk,-42.78,147.06,53.6,58,40,9.17
71,Sambava,-14.27,50.17,68.05,96,4,2.89
72,Safidon,29.4,76.66,70.79,57,0,4.29
73,Rorvik,64.86,11.24,28.4,85,47,13.87
74,Provideniya,64.42,-173.23,17.74,85,0,1.74
75,Yellowknife,62.45,-114.38,12.99,66,40,11.41
76,Nikolskoye,59.7,30.79,39.2,93,90,4.47
77,Cabo San Lucas,22.89,-109.91,88,62,5,11.41
78,Atar,20.52,-13.05,80.29,20,0,7.61
79,Tizimin,21.14,-88.15,86,58,75,10.29
80,Saskylakh,71.97,114.09,-10.93,96,98,16.17
81,East London,-33.02,27.91,66.15,72,82,11.21
82,Cayenne,4.94,-52.33,80.6,83,4,2.24
83,Atuona,-9.8,-139.03,80.35,77,58,13.44
84,Kodiak,39.95,-94.76,62.01,41,1,14.99
85,Tabou,4.42,-7.36,76.12,88,0,1.57
86,Mayo,63.59,-135.9,24.8,85,90,2.24
87,Ortona,42.35,14.4,64.4,77,75,5.82
88,Chuy,-33.69,-53.46,64.45,79,100,8.57
89,Port Alfred,-33.59,26.89,66,74,74,1.99
90,Songea,-10.68,35.65,73.4,69,5,4.7
91,Esperance,-33.86,121.89,48.2,93,33,8.05
